PERFORMANCE BY SECURITY,,,,,,,,,,
Group : 109780        From  01/01/2025  To  31/03/2025   Client Associates,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
IIFL SPECIAL OPPORTUNITIES FUND - SERIES 2 AIF CATEGORYII,"8,88,686",0,"1,22,671","-1,72,714","5,93,300",-21.23%,-4.63%,-62.42%,-17.68%,NIFTY 500 TRI
IIFL SPECIAL OPPORTUNITIES FUND - SERIES 2 AIF CATEGORYII,"8,88,686",0,"1,22,671","-1,72,714","5,93,300",-21.23%,-4.63%,-62.42%,-17.68%,NIFTY 500 TRI
IIFL SPECIAL OPPORTUNITIES FUND - SERIES 2 AIF CATEGORYII,"8,88,617",0,"1,22,662","-1,72,700","5,93,255",-21.23%,-4.63%,-62.42%,-17.68%,NIFTY 500 TRI
5,,,,,,,,,,
PRIVATE AND CONFIDENTIAL,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
Investcorp Growth Opportunity Fund,"62,80,036",0,0,0,"62,80,036",0.00%,-4.44%,0.00%,-17.00%,NIFTY 500 TRI
Investcorp Growth Opportunity Fund,"62,80,036",0,0,0,"62,80,036",0.00%,-4.44%,0.00%,-17.00%,NIFTY 500 TRI
Investcorp Growth Opportunity Fund,"94,20,052",0,0,0,"94,20,052",0.00%,-4.44%,0.00%,-17.00%,NIFTY 500 TRI
Investcorp Growth Opportunity Fund,"94,20,052",0,0,0,"94,20,052",0.00%,-4.44%,0.00%,-17.00%,NIFTY 500 TRI
Multiples Private Equity  Scheme IV,"32,94,823","23,74,290",0,"65,818","57,34,932",1.66%,0.44%,6.97%,1.81%,NIFTY 500 TRI
Multiples Private Equity  Scheme IV,"32,94,823","23,74,290",0,"65,818","57,34,932",1.66%,0.44%,6.97%,1.81%,NIFTY 500 TRI
Multiples Private Equity  Scheme IV,"32,94,823","23,74,290",0,"65,818","57,34,932",1.66%,0.44%,6.98%,1.81%,NIFTY 500 TRI
Multiples Private Equity  Scheme IV,"32,94,823","23,74,290",0,"65,818","57,34,932",1.67%,0.39%,7.02%,1.61%,NIFTY 500 TRI
Oister India Scheme II -Blume Fund 1Y,"5,01,67,178",0,0,"-1,96,577","4,99,70,601",-0.39%,-4.44%,-1.60%,-17.00%,NIFTY 500 TRI
TVS Capital Fund III,"2,28,24,689",0,0,0,"2,28,24,689",0.00%,-4.44%,0.00%,-17.00%,NIFTY 500 TRI
TVS Shriram Growth Fund 4,"10,00,000",0,0,0,"10,00,000",0.00%,-4.44%,0.00%,-17.00%,NIFTY 500 TRI
YOURNEST INNOVATIVE PRODUCTS VC FUND III,"3,18,58,755","45,90,000",0,"1,52,95,280","5,17,44,035",44.34%,-4.30%,350.49%,-16.48%,NIFTY 500 TRI
Zephyr Peacock India Fund,"75,40,750",0,0,0,"75,40,750",0.00%,-4.44%,0.00%,-17.00%,NIFTY 500 TRI
